,sentence
1746,The skin ?
1747,Is he ?
1748,Mhm .
1749,No .
1750,Where they ?
1751,Mhm .
1752,Did they ?
1753,Mm .
1754,Mm .
1755,Yeah .
1756,Yeah .
1757,Yeah .
1758,Mm .
1759,Mm .
1760,He was .
1761,Oh .
1762,Yeah .
1763,Mm .
1764,Oh Solihull .
1765,Jonathan .
1766,Jonathan .
1767,Oh yes .
1768,Oh right .
1769,have drunk .
1770,Mm .
1771,surprising .
1772,Oh yes .
1773,Yes .
1774,Oh .
1775,Why ?
1776,When ?
1777,Oh .
1778,Would it ?
1779,Oh dear .
1780,No .
1781,Should n't
1782,Oh .
1783,Mummy .
1784,Daddy .
1785,Telly .
1786,Yeah .
1787,Right .
1788,Right .
1789,Cloth .
1790,Right .
1791,Why ?
1792,Yes .
1793,see me .
1794,Yeah .
1795,It does .
1796,Oh .
1797,Right .
1798,Hands now .
1799,All clean .
1800,Other one .
1801,one .
1802,No ?
1803,No .
1804,Am I ?
1805,No you
1806,Mm ?
1807,Yes .
1808,And you watch
1809,Right .
1810,Oh .
1811,Oh .
1812,No .
1813,You watch
1814,Yes .
1815,Right .
1816,Please .
1817,Please .
1818,Probably is .
1819,Yes .
1820,Yeah .
1821,Found .
1822,No !
1823,"Ah ho ,"
1824,Ah !
1825,Ah !
1826,Mm .
1827,What ?
1828,!
1829,Oh yeah .
1830,Stratford ?
1831,Mm .
1832,Is it ?
1833,No .
1834,Twenty ninth .
1835,get one !
1836,Really ?
1837,Yeah .
1838,Yeah .
1839,housework .
1840,Thursday morning .
1841,You what ?
1842,What day ?
1843,Which day ?
1844,Monday .
1845,Are you ?
1846,Oh well
1847,Unpaid !
1848,Well she 'll
1849,Right .
1850,Mm .
1851,And how did
1852,and
1853,Oh !
1854,Oh .
1855,So
1856,Oh .
1857,Alright .
1858,your dad .
1859,Mm .
1860,Cos
1861,And ?
1862,Mm .
1863,Mm .
1864,Mm .
1865,Yeah .
1866,Yeah .
1867,I think .
1868,Yes .
1869,Yes .
1870,Double dose .
1871,Yes .
1872,Yeah .
1873,!
1874,Yeah .
1875,Not gon na
1876,No .
1877,Mm .
1878,Well you just
1879,Mm .
1880,If you !
1881,But I 've
1882,Alright
1883,This page ?
1884,Oh !
1885,Yeah .
1886,And
1887,afternoon .
1888,Yeah .
1889,Yeah .
1890,Oh yeah .
1891,and lots of
1892,Is it
1893,I ca n't
1894,Yes .
1895,just you .
1896,Twin room .
1897,Retired
1898,Ah !
1899,evening meal
1900,How much ?
1901,In that beautiful
1902,beautiful house .
1903,Is it ?
1904,Yeah
1905,Mm .
1906,Really ?
1907,Yeah
1908,Well you tell
1909,Oh right !
1910,I know !
1911,Yeah .
1912,I know .
1913,Yeah .
1914,Mm .
1915,Yeah .
1916,Yeah .
1917,Yeah .
1918,understand it .
1919,Yes !
1920,Oh
1921,just
1922,Hello Dot !
1923,Hello !
1924,Oh !
1925,Oh !
1926,what twenty ?
1927,Yeah .
1928,somehow !
1929,And I 'll
1930,Oh !
1931,No !
1932,Alright .
1933,Right .
1934,Invite .
1935,Yes !
1936,Erm
1937,"No , !"
1938,And the
1939,Yeah .
1940,yeah .
1941,now then .
1942,yeah .
1943,But anyway
1944,She
1945,Yeah but she
1946,Well
1947,Yeah .
1948,Cos she
1949,Oh !
1950,Oh no !
1951,Yeah
1952,They 're all
1953,Yeah .
1954,Yeah .
1955,Yeah .
1956,erm rather than
1957,Yeah .
1958,Why not !
1959,Yeah .
1960,curriculum .
1961,I mean
1962,Oh yeah .
1963,Yeah .
1964,Yeah .
1965,No !
1966,Yeah .
1967,They see .
1968,Yeah .
1969,Shame really .
1970,we 'll give
1971,Oh !
1972,Ooh !
1973,Here 's one
1974,here 's one
1975,oh no
1976,Yeah
1977,This is
1978,Bit of a
1979,"What , was"
1980,It 's
1981,Wednesday
1982,Wednesday well done
1983,I did
1984,Christopher 's school
1985,A whole ?
1986,Erm
1987,Erm apparently
1988,Erm especially
1989,Mum
1990,"No ,"
1991,It 's
1992,Oh dear
1993,Mum
1994,I just wondered
1995,I forgot to
1996,Oh dear
1997,"No ,"
1998,actually
1999,and
2000,they
2001,oh yeah
2002,"Yes , yes"
2003,Yeah
2004,Oh
2005,Oh Tim
2006,I ca n't
2007,Mum
2008,Yeah
2009,No
2010,You do it
2011,What are you
2012,You do it
2013,Do what ?
2014,Mm
2015,That do
2016,Why ?
2017,Er
2018,Anyway
2019,That 's it
2020,"Erm , erm"
2021,read
2022,Yeah
2023,spread it
2024,I am
2025,Mum
2026,Mm
2027,Did you ?
2028,Yeah
2029,Mum
2030,and
2031,Ours do actually
2032,Erm margarine
2033,the margarine
2034,yeah
2035,Marmite
2036,plopped in
2037,Why ?
2038,Why ?
2039,In
2040,Mm .
2041,I 'm
2042,Can I have
2043,With Christopher
2044,It Saturday 's
2045,Mm
2046,Where holiday
2047,No
2048,go home
2049,yeah
2050,"Mm , mm"
2051,Why ?
2052,Oh dear
2053,"Erm ,"
2054,I drop it
2055,Mm
2056,Mum
2057,I 'll be
2058,Amen
2059,Do it again
2060,Do it more
2061,Why ?
2062,Mum
2063,Ok
2064,mum
2065,What ?
2066,Mummy
2067,Yeah I know
2068,Mum
2069,mummy
2070,Bye Tim
2071,well
2072,daddy
2073,it
2074,You it
2075,Why not ?
2076,Yep
2077,My get a
2078,"Oh , oh"
2079,Oh
2080,Mum
2081,Yeah ?
2082,Oh .
2083,Mm .
2084,Yeah .
2085,Yeah .
2086,Yeah .
2087,Yeah .
2088,Mm .
2089,No wonder
2090,Yes love .
2091,Yes they
2092,I ca n't
2093,Oh you know
2094,Stock clearance .
2095,Yeah
2096,Mm .
2097,Mm
2098,Mm .
2099,Yeah
2100,Yippee !
2101,But the
2102,Yeah .
2103,Mm .
2104,Oh .
2105,Yes .
2106,She !
2107,What ?
2108,Yeah .
2109,.
2110,And !
2111,It 's
2112,Yeah .
2113,Yeah .
2114,Mm .
2115,No .
2116,Yeah .
2117,Going there ?
2118,Yeah .
2119,But
2120,I know .
2121,Yeah .
2122,Yeah .
2123,Mm .
2124,Mm .
2125,.
2126,Mhm .
2127,Mm .
2128,I will .
2129,Kimble .
2130,What you ?
2131,Yes .
2132,Hello sweetheart !
2133,"Right , ."
2134,Eighty one .
2135,Well why ?
2136,Twenty five .
2137,Yeah .
2138,in .
2139,Should I ?
2140,Yeah .
2141,No !
2142,Yeah .
2143,Right .
2144,The factory ?
2145,The
2146,Fracture .
2147,factory !
2148,The orthopaedic .
2149,Yes .
2150,Okay .
2151,You what ?
2152,Yes !
2153,.
2154,Yeah .
2155,A man
2156,now !
2157,Station Road .
2158,.
2159,Oh !
2160,Soon be .
2161,Oh !
2162,Yep .
2163,. Yeah ?
2164,No .
2165,She
2166,I
2167,I .
2168,No .
2169,Chocolates ?
2170,.
2171,Why ?
2172,Well !
2173,I mean
2174,Lots of .
2175,Oh !
2176,Invited to .
2177,Bloody well !
2178,.
2179,Oh .
2180,Fifty one .
2181,Yep .
2182,A a .
2183,Kimmy !
2184,Come here !
2185,Yeah .
2186,his lunch .
2187,building .
2188,Yeah .
2189,Oh !
2190,Ha !
2191,This !
2192,Could .
2193,Eight pound ?
2194,Not really .
2195,No !
2196,Yeah .
2197,Alright ?
2198,Yeah .
2199,Normal
2200,Lee !
2201,Watch !
2202,when
2203,Ouch !
2204,Exactly !
2205,Ahhh !
2206,She did !
2207,oi !
2208,the shoe .
2209,Yeah .
2210,Okay .
2211,Well they did
2212,Well chicken .
2213,one
2214,No !
2215,No !
2216,No !
2217,Urgh !
2218,Sit down !
2219,Yeah .
2220,Vicki !
2221,Terrible !
2222,Them two !
2223,Pulling hair !
2224,oi !
2225,Come here !
2226,Oh yes .
2227,But er
2228,mum mum !
2229,hotel .
2230,Yeah she used
2231,to nice .
2232,Ah no !
2233,No !
2234,Yeah .
2235,uncle .
2236,There are !
2237,New baby .
2238,Yeah .
2239,That 's from
2240,That 's the
2241,Canada .
2242,Oh right !
2243,There was a
2244,Aha .
2245,charity match .
2246,No .
2247,It is
2248,First !
2249,Four .
2250,A car !
2251,A car !
2252,What ?
2253,Shut up !
2254,Mummy !
2255,That 's .
2256,Yes .
2257,car !
2258,Mm .
2259,Yes .
2260,Yeah !
2261,And Vicki 's
2262,Seventy six .
2263,!
2264,Wait !
2265,key
2266,Ah .
2267,He Ah !
2268,Yeah .
2269,the first .
2270,Daddy !
2271,They got Vanden
2272,Yeah .
2273,Oh oh !
2274,The German ?
2275,Er
2276,Popoloff !
2277,Hopa .
2278,Hopa .
2279,Mummy !
2280,Mum !
2281,Mum !
2282,Mum !
2283,Cor !
2284,Not good !
2285,Oh well
2286,Tell .
2287,Germany .
2288,No !
2289,!
2290,Vicki !
2291,Yep !
2292,Gently !
2293,Be nice !
2294,Vicki !
2295,Gently !
2296,oi !
2297,Come here !
2298,Oh God !
2299,Nearly !
2300,Gently !
2301,Oh !
2302,Gently !
2303,No !
2304,Get off !
2305,No !
2306,Who come see
2307,Yeah .
2308,Di .
2309,Fifty eight point
2310,Di !
2311,No !
2312,No !
2313,Fifty five
2314,Granddad .
2315,Granddad
2316,Well
2317,No Pete !
2318,Pete ?
2319,Uncle
2320,Stuart .
2321,Banda !
2322,Gerald !
2323,Gerald .
2324,Gerald .
2325,!
2326,Ah !
2327,Give me !
2328,Yeah ?
2329,Granddad .
2330,Oh yeah .
2331,Nanny !
2332,Yes .
2333,What ?
2334,Philip !
2335,Philip !
2336,Here are .
2337,Yeah .
2338,Bander .
2339,Oh !
2340,No .
2341,Ha !
2342,oi !
2343,The
2344,Yeah .
2345,Mm .
2346,hit eye .
2347,No .
2348,Which one ?
2349,Well
2350,Here are !
2351,Car !
2352,Ooh ee !
2353,Mm .
2354,Gone .
2355,Ooh !
2356,Ah mummy !
2357,There 's a
2358,Yeah ?
2359,Ah .
2360,to keep them
2361,Ah .
2362,.
2363,!
2364,Mummy !
2365,Yeah ?
2366,now cos .
2367,They 're seconds
2368,Seventh .
2369,Hey !
2370,Vicki !
2371,Vicki !
2372,Right !
2373,Yeah alright .
2374,Alright .
2375,Oh yeah .
2376,Look !
2377,Yep !
2378,Germans .
2379,Mummy !
2380,Ah !
2381,Vicki !
2382,Not me !
2383,Aye ?
2384,said so .
2385,Mm !
2386,Eight pound !
2387,Ooh !
2388,But mummy !
2389,Mummy !
2390,She .
2391,She .
2392,It 's !
2393,Think so .
2394,Right .
2395,No !
2396,There are Phil
2397,Alright .
2398,Vicki !
2399,Mm mm !
2400,Wee wee !
2401,Oop !
2402,Had my
2403,Wee wee !
2404,No !
2405,last night .
2406,Urgh !
2407,Hello !
2408,Only Mondays .
2409,Your lying again
2410,Well
2411,Who ?
2412,Cake ?
2413,No !
2414,Well
2415,Wee wee !
2416,a minute !
2417,bottle of Taboo
2418,Urgh !
2419,Yeah .
2420,Yeah !
2421,I feel
2422,Yeah but
2423,Ooh yes !
2424,Who me ?
2425,What ?
2426,Yeah .
2427,Yeah !
2428,All that !
2429,Ah ?
2430,Only .
2431,So
2432,What
2433,Ah !
2434,Ooh !
2435,Oh yeah !
2436,Yeah .
2437,Yeah !
2438,Yeah !
2439,Yeah .
2440,not likely !
2441,Yeah .
2442,Mm .
2443,?
2444,Anyway
2445,Ooh !
2446,Ooh !
2447,No !
2448,Ooh !
2449,Here comes the
2450,I want a
2451,Ooh !
2452,Ooh !
2453,Ooh !
2454,Ooh !
2455,Ooh !
2456,Ooh !
2457,Ooh !
2458,Ooh !
2459,Ooh !
2460,Ooh !
2461,Wee wee !
2462,Wee !
2463,Wee wee !
2464,See him .
2465,Go away !
2466,Yeah !
2467,Go away !
2468,Well won yesterday
2469,Aye !
2470,No !
2471,But
2472,Wee wee .
2473,Ooh !
2474,Get up !
2475,Yeah .
2476,Alright then .
2477,Shut up !
2478,Who ?
2479,What thing ?
2480,And you
2481,Wow !
2482,Twenty four !
2483,Yeah .
2484,Ready ?
2485,him .
2486,Yeah .
2487,What time ?
2488,See look !
2489,Look macho .
2490,Yes ?
2491,Ooh !
2492,No
2493,Yeah tomorrow
2494,Tomorrow
2495,Hmm hmm
2496,Arms
2497,Did he ?
2498,Yes .
2499,Yes .
2500,Ahh .
2501,Mmm
2502,She
2503,Yes yes
2504,Mm ?
2505,Hmm ?
2506,No here .
2507,military service
2508,Mm mm
2509,Mm mm
2510,Yeah .
2511,Hmm hm
2512,Westland ?
2513,Hmm mm .
2514,Yes um .
2515,Hmm hmm .
2516,No
2517,No
2518,Hmm hmm
2519,Hmm hmm
2520,Yeah
2521,Hmm .
2522,Mm
2523,Yeah ?
2524,Yeah .
2525,Yeah ?
2526,Hmm hmm
2527,and deafness hmm
2528,Yeah
2529,Really ?
2530,Yeah
2531,Well yes
2532,I know
2533,Really ?
2534,Yes
2535,Hmm
2536,Yes .
2537,Yes .
2538,Yes
2539,Some do
2540,No not really
2541,No .
2542,Yes
2543,Yes
2544,Hmm hmm
2545,No ?
2546,Some coffee ?
2547,Hmm yes
2548,Good
2549,No thanks
2550,No thanks
2551,Oh
2552,What ?
2553,Yes yes
2554,Have you vegetables
2555,No no
2556,No no really
2557,Really ?
2558,Sure
2559,No
2560,Okay .
2561,Whose that ?
2562,Hmm ?
2563,Yes ?
2564,Hmm ?
2565,You would ?
2566,I really would
2567,I would rather
2568,Yeah .
2569,Hmm .
2570,Not here ?
2571,No
2572,Oh when ?
2573,No
2574,No .
2575,Hmm I have
2576,Hmm ?
2577,Really ?
2578,Really ?
2579,Yes
2580,I think .
2581,Not very much
2582,Yes
2583,Yes
2584,No ?
2585,Oh !
2586,But I
2587,Yes ?
2588,Lyon ?
2589,Lyon
2590,No
2591,At at
2592,Yes
2593,I am
2594,No .
2595,It will rain
2596,Who said .
2597,I like it
2598,There is September
2599,I like
2600,Hmm
2601,It is n't
2602,Hmm .
2603,Ah no !
2604,I know
2605,Coffee
2606,Oh !
2607,Yes
2608,Well
2609,To where ?
2610,Hmm hmm
2611,overlap
2612,Really ?
2613,Floods
2614,Yes .
2615,Yes
2616,Oh !
2617,So
2618,I sleep better
2619,No .
2620,Dear me !
2621,What next ?
2622,Ah !
2623,Where ?
2624,Mmm really ?
2625,Really really
2626,It is
2627,Oh !
2628,Why not ?
2629,No .
2630,Go
2631,No no
2632,Very nice very
2633,Sure
2634,Yes .
2635,Yeah
2636,Hmm .
2637,No
2638,Hmm
2639,Hmm .
2640,France
2641,Okay yes
2642,Yeah
2643,El is beautiful
2644,Is it ?
2645,We are .
2646,Mmm
2647,Bromley
2648,Quite
2649,What ?
2650,Really ?
2651,Ca n't
2652,Hmm ?
2653,with the soda
2654,No just
2655,Oh !
2656,Isobel wants
2657,Yes
2658,Three weeks .
2659,Oh !
2660,Hmm hmm .
2661,Really ?
2662,Hmm .
2663,Really ?
2664,Yes .
2665,I know .
