;Source Domain;Target Domain;Title;Metaphor;Example 
415;size;conceit;Conceit Is Inflation;Conceit Is Inflation;He was becoming quite grandiose when I left.
416;size;conceit;Conceit Is Inflation;Conceit Is Inflation;She's got a big/swollen head
417;;;Conducting Research Is Solving A Puzzle;Conducting Research Is Solving A Puzzle;He finally got the pieces to fall into place.
418;;;Conducting Research Is Solving A Puzzle;Conducting Research Is Solving A Puzzle;One piece was still missing from the picture.
419;;;Control Is Up;Control Is Up;I have control over him.
420;;;Control Is Up;Control Is Up;He is under my power.
421;;;Control Is Up;Control Is Up;I'm on top of the situation.
422;;;Control Is Up;Control Is Up;I have it all under control.
423;;;Control Is Up;Control Is Up;He has a dominating/submissive personality.
424;;;Creating Is Birthing;Creating Is Birthing;This solution actually gives birth to a lot of new problems.
425;;;Creating Is Giving An Object;Creating Is Giving An Object;He gave the field of Engineering its very existence.
426;;;Creating Is Making;Creating Is Making;The solution made new problems take shape.
427;;;Creating Is Making;Creating Is Making;The solution made a lot of new problems.
428;;;Creating Is Making Visible;Creating Is Making Visible;The Packer's play
429;;;Creating Is Making Visible;Creating Is Making Visible;The current policy is making a lot of new problems appear.
430;;;Creating Is Moving To A Location (here);Creating Is Moving To A Location (here);The created object is brought into existence.
431;;;Creating Is Moving To A Location (here);Creating Is Moving To A Location (here);The created object is brought into being.
432;;;Creating Is Moving To A Location (here);Creating Is Moving To A Location (here);Aspirin can make your headaches go away.
433;;;Creation Is Cultivation;Creation Is Cultivation;He planted seeds of doubt in my mind.
434;;;Creation Is Cultivation;Creation Is Cultivation;Money is the root of all evil.
435;;;Creation Is Cultivation;Creation Is Cultivation;Jealousy is an off
436;;;Creation Is Cultivation;Necessary Prerequisites Are Necessary Prerequisties For Plant Life;China is a fertile ground for revolt.
437;disease;belief;Dangerous Beliefs Are Contagious Diseases;Dangerous Beliefs Are Contagious Diseases;an infectious idea
438;disease;belief;Dangerous Beliefs Are Contagious Diseases;Dangerous Beliefs Are Contagious Diseases;the contagion of democratic ideas
439;disease;belief;Dangerous Beliefs Are Contagious Diseases;Believers Are Infected;the children were infected with ideas about socialism
440;disease;belief;Dangerous Beliefs Are Contagious Diseases;Believers Are Infected;they quarantined the Japanese
441;disease;belief;Dangerous Beliefs Are Contagious Diseases;Controlling The Belief Is Containing The Spread Of The Disease;we have to take extreme measures and amputate the gangrenouslimb before it kills our nation
442;cover;dark, darkness;Darkness Is A Cover;Darkness Is A Cover;Under cover of darkness.
443;cover;dark, darkness;Darkness Is A Cover;Darkness Is A Cover;He was enveloped in darkness.
444;cover;dark, darkness;Darkness Is A Cover;Darkness Is A Cover;Darkness closed in over us.
445;solid, substance;dark, darkness, black, blackness;Darkness Is A Solid;Darkness Is A Solid;The darkness was palpable.
446;solid, substance;dark, darkness, black, blackness;Darkness Is A Solid;Darkness Is A Solid;We had to feel our way through the darkness.
447;solid, substance;dark, darkness, black, blackness;Darkness Is A Solid;Darkness Is A Solid;The light shone through the darkness.
448;solid, substance;dark, darkness, black, blackness;Darkness Is A Solid;Darkness Is A Solid;The darkness was inpenetrable.
449;solid, substance;dark, darkness, black, blackness;Darkness Is A Solid;Darkness Is A Solid;Darkness pressed in on all sides.
450;solid, substance;dark, darkness, black, blackness;Darkness Is A Solid;Darkness Is A Solid;Darkness closed in on us.
451;hunger, eating;desire, lust, getting, sex;Desire Is Hunger;Desire Is Hunger;He was drooling over her.
452;hunger, eating;desire, lust, getting, sex;Desire Is Hunger;Desire Is Hunger;He is sex
453;hunger, eating;desire, lust, getting, sex;Desire Is Hunger;Desire Is Hunger;She thirsts for recognition.
454;hunger, eating;desire, lust, getting, sex;Desire Is Hunger;Desire Is Hunger;sexual appetite
455;hunger, eating;desire, lust, getting, sex;Desire Is Hunger;Desire Is Hunger;He hungers for her touch.
456;hunger, eating;desire, lust, getting, sex;Desire Is Hunger;Desire Is Hunger;cheesecake, buns, sugar, meat, dish
457;;;Desires Are Forces Between The Desired And The Desirer;Desires Are Forces Between The Desired And The Desirer;They were drawn to each other.
458;;;Desires Are Forces Between The Desired And The Desirer;Desires Are Forces Between The Desired And The Desirer;He found the brussel sprouts repulsive.
459;;;Desires Are Forces Between The Desired And The Desirer;Desires Are Forces Between The Desired And The Desirer;Tom Hanks is very attractive.
460;;;Desires Are Forces Between The Desired And The Desirer;The Force May Be Within The Desirer;Something in me pulls me toward the wrong kind of man.
461;;;Desires Are Forces Between The Desired And The Desirer;The Force May Be Within The Desired Entity;Something about him drew me to him.
462;;;Desires Are Forces Between The Desired And The Desirer;Sexuality Is A Force Between Desired And Desirer.;I could feel the electricity between us.
463;;;Desires Are Forces Between The Desired And The Desirer;Sexuality Is A Force Between Desired And Desirer.;There is a certain chemistry between us.
464;;;Desires Are Forces Between The Desired And The Desirer;Sexuality Is A Force Between Desired And Desirer.;He has a lot of animal magnetism.
465;;;Desires Are Forces Between The Desired And The Desirer;Sexuality Is A Force Between Desired And Desirer.;She's giving off very feminine, sexy vibes.
466;adversary;difficult subjects;Difficult Subjects Are Adversaries;Difficult Subjects Are Adversaries;Math 250 was a killer course.
467;adversary;difficult subjects;Difficult Subjects Are Adversaries;Difficult Subjects Are Adversaries;That course was brutal, but I survived.
468;adversary;difficult subjects;Difficult Subjects Are Adversaries;Difficult Subjects Are Adversaries;I thought it was a tame course, but it turned into a bear.
469;adversary;difficult subjects;Difficult Subjects Are Adversaries;The Mind Is A Fighter;My brain has been struggling with math for weeks.
470;adversary;difficult subjects;Difficult Subjects Are Adversaries;Thinking Is Struggling;He wrestled with the new subject until he came to understand it.
471;adversary;difficult subjects;Difficult Subjects Are Adversaries;Thinking Is Struggling;She struggled with the subject.
472;adversary;difficult subjects;Difficult Subjects Are Adversaries;Understanding/learning Is Gaining Physical Control Over The Material;She wasn't able to tackle all the material, so he stayed behind.
473;adversary;difficult subjects;Difficult Subjects Are Adversaries;Understanding/learning Is Gaining Physical Control Over The Material;He successfully conquered the material.
474;adversary;difficult subjects;Difficult Subjects Are Adversaries;Understanding/learning Is Gaining Physical Control Over The Material;He has command over the material
475;;;Difficulties Are Containers;Difficulties Are Containers;How did I get myself into this situation?
476;;;Difficulties Are Containers;Difficulties Are Containers;We're in this thing together.
477;;;Difficulties Are Containers;Difficulties Are Containers;How do we get out of this situation?
478;;;Difficulties Are Containers;Difficulties Are Containers;We're in a mess.
479;;;Difficulties Are Containers;Difficulties Are Containers;We're in hot water.
480;;;Difficulties Are Containers;Difficulties Are Containers;We're in a lot of trouble now.
481;;;Difficulties Are Containers;Difficulties Are Containers;Let's try to get out of this situation.
482;;;Difficulties Are Containers;Difficulties Are Containers;He's in it up to his neck.
483;nausea;disgust;Disgust Is Nausea;Disgust Is Nausea;You make me sick!
484;nausea;disgust;Disgust Is Nausea;Disgust Is Nausea;His behavior made me want to throw up.
485;nausea;disgust;Disgust Is Nausea;Disgust Is Nausea;She's a nauseating person.
486;;;Disparity Is Change;Disparity Is Change;The phone poles get taller as you approach the freeway.
487;;;Disparity Is Change;Disparity Is Change;His girlfriends keep getting taller.
488;;;Disparity Is Change;Disparity Is Change;The president changes every four years.
489;contact, touch;feeling, emotion, effect;Effect On Emotional Self Is Contact With Physical Self;Effect On Emotional Self Is Contact With Physical Self;Feelings.
490;contact, touch;feeling, emotion, effect;Effect On Emotional Self Is Contact With Physical Self;Effect On Emotional Self Is Contact With Physical Self;I was touched.
491;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;The comedian knocked them over.
492;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;She hit them with tremendous one
493;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;The performance killed them.
494;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;That joke really slayed me.
495;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;She nearly died of laughter.
496;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;Stop telling those jokes, you're killing me.
497;motion;emotion;Emotion Is Motion;Emotion Is Motion;I was moved by the poem.
498;motion;emotion;Emotion Is Motion;Emotion Is Motion;I went into transports of joy.
499;motion;emotion;Emotion Is Motion;Emotion Is Motion;You send me.May be related to EMOTIONS ARE REGIONS.Related to STATES ARE LOCATIONS and CAUSED CHANGE OF STATE IS CAUSED MOTION
500;;;Emotional Intimacy Is Physical Closeness;Emotional Intimacy Is Physical Closeness;I feel close to him.
501;;;Emotional Intimacy Is Physical Closeness;Emotional Intimacy Is Physical Closeness;he is very near and dear to her.
502;;;Emotional Intimacy Is Physical Closeness;Emotional Intimacy Is Physical Closeness;She can't get close to him.
503;;;Emotional Intimacy Is Physical Closeness;Emotional Intimacy Is Physical Closeness;He keeps everyone at arms length.
504;;;Emotional Intimacy Is Physical Closeness;Emotional Intimacy Is Physical Closeness;He distances himself.
505;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;We're moving closer.
506;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;We're coming together.
507;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;We're closer than we were before.
508;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;Babies bond to their mothers.
509;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;"from marriage ceremony, ""..these two are joined as one...               they are joined in matrimony"""
510;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;Those two lovebirds are inseparable.
511;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;There's been a coming together.
512;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;They've developed an attachment.
513;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;We're drifting apart.
514;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;They've moved away from each other emotionally.
515;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He runs away at the first sign of intimacy.
516;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;We talk and talk, but I can't seem to reach him.
517;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;We connect.
518;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He got to her.
519;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;I think I'm making contact with him.
520;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;I'm touched.
521;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He touched her with the expensive gift.
522;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He tickles her pink with his remarks.
523;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He makes my skin crawl.
524;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He rubs her the wrong way. (involves also People are Animals metaphor)
525;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;"Her T-shirt said ""Handle with Care""."
526;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He doesn't know how to handle her.
527;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He has to be handled with kid gloves.
528;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;He doesn't feel anything so you really have to shake him.
529;;;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;His comment hit Joe right where it hurts.
530;;;Emotional Intimacy Is Physical Closeness;Avoiding Emotional Effect Is Avoiding Contact;He wraps himself in armor.
531;;;Emotional Intimacy Is Physical Closeness;Avoiding Emotional Effect Is Avoiding Contact;He shields himself from any experiences.
532;;;Emotional Intimacy Is Physical Closeness;Avoiding Emotional Effect Is Avoiding Contact;He won't let anyone get near him.
533;;;Emotional Intimacy Is Physical Closeness;Inclinations Toward Intimacy Are Forces Toward Closeness;I was drawn to him.
534;;;Emotional Intimacy Is Physical Closeness;Inclinations Toward Intimacy Are Forces Toward Closeness;They are attracted to each other.
535;;;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;She was shattered by his death.
536;;;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;She was crushed by what he said.
537;;;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;He broke down in tears.
538;;;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;He went all to pieces.
539;;;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;I'm very emotionally fragile right now.
540;;;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;She fell apart.
541;balance;emotion stability;Emotional Stability Is Balance;Emotional Stability Is Balance;He is unbalanced
542;balance;emotion stability;Emotional Stability Is Balance;Emotional Stability Is Balance;She's not on an even keel
543;balance;emotion stability;Emotional Stability Is Balance;Emotional Stability Is Balance;They're upset
544;balance;emotion stability;Emotional Stability Is Balance;Emotional Stability Is Balance;I'm a very stable individual
545;balance;emotion stability;Emotional Stability Is Balance;Emotional Stability Is Balance;She's quite level
546;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;She has her feet on the ground
547;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;Don't let yourself get dislodged/disconnected
548;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;He felt uprooted
549;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;She's drifting
550;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;I'm up in the air
551;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;He's treading water
552;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;I've just had the rug pulled out from under me
553;contact ground;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;She's flipped
554;location motion;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;He's on the edge
555;location motion;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;She came back from the brink
556;location motion;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;He went over the edge
557;location motion;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;I'm hanging on by my fingertips
558;location motion;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;I'm on shaky ground
559;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Entities Within A Person;I was filled with rage.
560;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Entities Within A Person;She was overflowing with joy.
561;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Entities Within A Person;She could hardly contain her anger.
562;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;He poured out his hate on us.
563;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;She drank in his love.
564;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;I'm drowning in sorrow
565;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;He's stirred up
566;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;She's bubbling with excitement
567;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;His eyes were full of love.
568;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;His eyes were overflowing with emotion.
569;entities, substances;emotions;Emotions Are Entities Within A Person;Emotions Are Liquids Within A Person;I could see the hatred in his eyes.
570;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Physical Forces;I was moved by the poem
571;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Physical Forces;I was pushed into depression
572;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Physical Forces;She was carried away by the song
573;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Physical Forces;He was struck by anger
574;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Electromagnetic Forces;She felt charged up with anxiety
575;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Electromagnetic Forces;I discharged my anger on him
576;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Electromagnetic Forces;I can feel the good vibrations
577;forces, causes, motion;emotions;Emotions Are Forces;Emotions Are Electromagnetic Forces;He's got a lot of negative energy
578;verticality;euphoria;Euphoric States Are Up;Euphoric States Are Up;He's really high
579;verticality;euphoria;Euphoric States Are Up;Euphoric States Are Up;She's coming down
580;;;Existence Is A Location (here);Existence Is A Location (here);Something good came about.
581;;;Existence Is A Location (here);Existence Is A Location (here);It came into existence
582;;;Existence Is A Location (here);Existence Is A Location (here);It went out of existence
583;;;Existence Is A Location (here);Existence Is A Location (here);The baby is due any day.
584;;;Existence Is A Location (here);Existence Is A Location (here);The baby is a new arrival.
585;;;Existence Is A Location (here);Existence Is A Location (here);No answers were forth
586;;;Existence Is A Location (here);Existence Is A Location (here);"I can't make it; something came up."
587;;;Existence Is A Location (here);Existence Is A Location (here);The question simply doesn't arise here.
588;;;Existence Is A Location (here);Existence Is A Location (here);I don't want to arouse/raise suspicion.
589;;;Existence Is A Location (here);Maintaining Existence Is Maintaining Location Up Here;Renewed interest has kept Zen Buddhism from sinking into non
590;;;Existence Is A Location (here);Maintaining Existence Is Maintaining Location Up Here;The anti
591;;;Existence Is A Location (here);Maintaining Existence Is Maintaining Location Up Here;Their marriage is on shaky ground.
592;;;Existence Is A Location (here);Maintaining Existence Is Maintaining Location Up Here;The emergence of new sciences is to be welcomed, not feared.
593;;;Existence Is An Object;Existence Is An Object;I want control over my own existence.
594;;;Existence Is Having A Form;Existence Is Having A Form;Things materialized.
595;;;Existence Is Life;Existence Is Life;That was the birth/death of my interest.
596;;;Existence Is Life;Existence Is Life;That killed their play
597;;;Existence Is Life;Existence Is Life;Is the Social Security program healthy, or is it terminally ill?
598;;;Existence Is Visibility;Existence Is Visibility;New problems keep appearing.
599;;;Existence Is Visibility;Existence Is Visibility;Suddenly my headache vanished.
600;;;Existence Is Visibility;Existence Is Visibility;When I talk to her, my problems disappear.
601;;;Existence Is Visibility;Existence Is Visibility;The controversy eventually faded away.
602;;;Existence Is Visibility;Existence Is Visibility;Semantic bleaching.
603;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;External Appearance Is A Cover;The crisis stripped away our veneer of sophistication.
604;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;External Appearance Is A Cover;We donned an appearance of nonchallance.
605;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;Wipe that smile off your face.
606;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;Put on a happy face.
607;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;He wore an expression of utter sadness
608;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;His guilt was written all over his face.
609;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;His look of amusement was slipping from his face.
610;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;A grimace materialized for no apparent reason, but it meltedaway before she arrived.
611;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;The disquiteting expression was lifted from her face.
612;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;It seemed as though a perpetual grin was sewn to his lips.
613;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;A shadow fell across her brow.  (= she looked troubled)
614;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;Wipe that grin off your face.
615;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;His grin melted away.
616;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;His face was stripped bare of any emotion.
617;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;She wore a deceitful mask of gaiety, which hid her true state.
618;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;He hid behind a mask of self-rightousness.
619;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;Behind a pleasant face there is always a dark secret.
620;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Facial Expressions Are Covers;She concealed her anticipation with a convincing look of boredom.
621;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Stances Are Covers/clothes;He donned an awkward posture.
622;cover, clothes;external appearance, appearance, looks;External Appearance Is A Cover;Stances Are Covers/clothes;He shed the muscle-man pose when his leg cramped.Covers and/or clothes?
623;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;The climate is right for a takeover.
624;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;The economic forecast is favorable.
625;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;It rained on my parade.
626;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;Into each life some rain must fall.
627;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;Save it for a rainy day.
628;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;An ill
629;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;There were dark clouds on the horizon.
630;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;We can weather this storm.
631;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;Stormy weather (song)
632;;;External Events Affecting Progress Are Forces Affecting;External Events That Affect Action Are Forces That Affect Motion;He was blown about by the winds of war.
633;;;External Events Affecting Progress Are Forces Affecting;Beneficial Events Are Forces Moving Toward Your Destination;Everything's going my way.
634;;;External Events Affecting Progress Are Forces Affecting;External Events Detrimental To Action Are Opposing Forces;Things are going against me.
635;points;facts, fact;Facts Are Points (set Up In Spatial Configuration);Facts Are Points (set Up In Spatial Configuration);The theory touches on those points.
636;points;facts, fact;Facts Are Points (set Up In Spatial Configuration);Facts Are Points (set Up In Spatial Configuration);You have to take into account the way the facts are laid out.
637;cold temparature;fear;Fear Is Cold;Fear Is Cold;He had cold feet
638;cold temparature;fear;Fear Is Cold;Fear Is Cold;Her blood ran cold
639;cold temparature;fear;Fear Is Cold;Fear Is Cold;A cold stab of fear went through me
640;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;Put more force into your punches.
641;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;He said some forceful words.
642;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;His punches carry a lot of force.
643;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;Each sentence contained the force of an order.
644;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;His punches have a lot of force.
645;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;Her death hit us all forcefully.
646;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;Her death hit us with a lot of force.
647;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;The force of the blow knocked me over.
648;;;Force Is A Substance Contained In Affecting Causes;Force Is A Substance Contained In Affecting Causes;The force added to the swing was enough to send the ball over the fence
649;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;Apply more force to the edge of the lid
650;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;Direct more force at the hinges
651;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;Focus force on the weak spots.
652;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;It took a lot of force to open it.
653;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;Use more force in driving the nail.
654;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;Exert more force on the lock.
655;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;Put more force behind your punches.
656;;;Force Is A Substance Directed At An Affected Party;Force Is A Substance Directed At An Affected Party;Back up your punches with more force.
657;motion, movement;form, shape;Form Is Motion;Form Is Motion;The roof slopes.
658;motion, movement;form, shape;Form Is Motion;Form Is Motion;The tower leans.
659;motion, movement;form, shape;Form Is Motion;Form Is Motion;The road bends.
660;motion, movement;form, shape;Form Is Motion;Form Is Motion;The roof slopes down before it drops off steeply.
661;motion, movement;form, shape;Form Is Motion;Form Is Motion;The road led me to an inn
662;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;Did you make it with her?
663;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;Did you score last night?
664;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;He couldn't get to first base with her.
665;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;I struck out last night.
666;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;She wouldn't play ball.
667;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;Touchdown!/Homerun!
668;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;Sexual conquest.
669;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;Better put on my war paint (= make
670;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;He fled from her advances.
671;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;She surrendered to him.
672;;;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;He broke down her defences.
673;eating, food;getting, taking;Getting Is Eating;Getting Is Eating;Cough up the money you owe me!
674;eating, food;getting, taking;Getting Is Eating;Getting Is Eating;I've been feeding him funds illegally for a year.
675;eating, food;getting, taking;Getting Is Eating;Desire Is Hunger;He's drooling over a new car
676;eating, food;getting, taking;Getting Is Eating;Desire Is Hunger;The job is a mouth
677;eating, food;getting, taking;Getting Is Eating;Desire Is Hunger;honey, sugar, sweetie (used for desired people)
678;location, motion;harm;Harm Is Being In A Harmful Location;Harm Is Being In A Harmful Location;I am in trouble
679;location, motion;harm;Harm Is Being In A Harmful Location;Harm Is Being In A Harmful Location;You are in danger
680;location, motion;harm;Harm Is Being In A Harmful Location;Harm Is Being In A Harmful Location;He's on thin ice
681;location, motion;harm;Harm Is Being In A Harmful Location;Harm Is Being In A Harmful Location;She's walking a tightrope
682;location, motion;harm;Harm Is Being In A Harmful Location;Being Harmed Is Being Forced To Move To A Harmful Location;He keeps pushing me into trouble
683;location, motion;harm;Harm Is Being In A Harmful Location;Being Harmed Is Being Forced To Move To A Harmful Location;She throws herself into dangerous situations regularly
684;location, motion;harm;Harm Is Being In A Harmful Location;Being Harmed Is Being Forced To Move To A Harmful Location;They're driving me over the edge
